,title,5th_grade_text
12,Students and Faculty Mentors Celebrated at Student Research Day,"Main Ideas:
1. Yale School of Medicine celebrated Student Research Day, showcasing diverse mentored research by students from various health professions schools.
2. The Lee E. Farr MD Endowed Lectureship and the Dr. John N. Forrest, Jr., Mentorship Award honored faculty for their outstanding mentorship.
3. Five medical students presented their thesis research on various topics, guided by their faculty mentors.


Celebrating Student Research at Yale School of Medicine

On May 7, 2024, Yale School of Medicine held a special event called Student Research Day. This event, which has been a tradition since 1988, celebrates the hard work and discoveries of students and their teachers. Students from different health schools at Yale displayed their research projects through posters and presentations.

The event started with speeches from two important leaders at the school, Dr. Sarwat Chaudhry and Dr. Erica Herzog. They talked about how proud they were of the students' research and how important it is for future doctors to learn about science.

Honoring a Special Teacher
During the event, a special lecture was given by Dr. Peter Aronson, who has been teaching at Yale for 50 years! He talked about his own experiences as a student and a teacher, and how important it is to learn from unexpected discoveries in research. Dr. Nancy Brown, the dean of the school, said that Dr. Aronson is a great example of a leader and teacher.</p>

Remembering a Beloved Mentor

The event also honored the memory of Dr. John N. Forrest, Jr., who started the Office of Student Research at Yale. His son, Dr. John K. Forrest, announced the winner of an award named after his father. The award went to Dr. Shelli Farhadian, who was praised for being an excellent mentor to her students.

Dr. Farhadian said, ""I feel very lucky to have had my own exceptional research mentors along the way, and I have tried to emulate them when mentoring my own trainees.""

Student Presentations

Five medical students gave presentations about their research projects:


  Chinye Ijile studied the history of health insurance for undocumented children in Connecticut.
  Amanda Lieberman researched the challenges of providing a medicine called methadone to people who use drugs in Kazakhstan.
  Kingson Lin worked on developing new treatments for a type of brain cancer called glioblastoma.
  Victoria Marks studied how health insurance and access to care affect patients with a type of eye cancer called uveal melanoma in the United States.
  Jamieson O'Marr researched injuries caused by bullets and explosions, and how they affect people around the world.


Each student worked closely with a teacher who guided them through their research. These projects show how curious and hardworking the students at Yale School of Medicine are, and how they are learning to become great doctors and scientists in the future."
14,Words for Change: Yale students join global call to launch a new humanism,"Top 3 Main Ideas:
1. Giovanni Caccamo's ""Manifesto for Change"" project aims to empower youth to share their ideas and visions for a better future through essays and artistic expression.
2. Intergenerational dialogue and collaboration are crucial for driving positive change and shaping a brighter future for all.
3. The Early Childhood Peace Consortium (ECPC) recognizes the importance of investing in early childhood development as a strategy for building peaceful societies.

A Special Meeting
On a December evening in 2023, two Yale professors, James F. Leckman and Kyle D. Pruett, met an Italian artist and songwriter named Giovanni Caccamo in New York City. Giovanni and his friends from the Andrea Bocelli Foundation had just talked to people at the United Nations about their programs that help children in need and inspire young people through words and music.

Dr. Pruett, who loves to sing, told Giovanni that he and a children's choir from New Haven had recently performed a song called ""Seeds of Peace."" This song is about hope and peace, and it's the special song of a group called the Early Childhood Peace Consortium (ECPC). The ECPC believes that helping young children grow and learn can lead to a more peaceful world.

But what really got the professors excited was when Giovanni told them about his love for music and his project called ""Manifesto for Change – Youth and Future.""

Giovanni's Journey
In 2021, Giovanni made an album called ""Parola."" Each song in the album is based on a famous poem or piece of writing, and he worked with other well-known artists to create the music.

But Giovanni wanted to do more. He started a project called ""Voices to the Young"" in 2022. He asked young people in Italy to write essays about what they wanted to change in their world and how they would do it. He chose 60 of the best essays and put them in a book called ""Manifesto del cambiamento"" in 2023. The book also has art by famous artists and a special letter from Pope Francis to young people.

A Global Call for Change
Giovanni didn't stop there. In April 2024, he took his project to a big meeting in New York City where 5,000 young people from all over the world came together. He asked them to share their stories and ideas for the future, no matter where they came from or what they believed in. He wanted to make a global book that would collect all of these ideas.

A Visit to Yale
Professors Leckman and Pruett were so impressed by Giovanni's work that they invited him to visit Yale University. They wanted him to meet with Kyle King, a Yale student who leads the ECPC's Youth Group, and to hold a special workshop for young people at Yale.

A Conversation About Youth and the Future
At Yale, Kyle King and Giovanni Caccamo had an exciting talk about how young people can make positive changes in the world. Giovanni shared his own story of how he found his love for music and art after losing his father when he was young. He encourages young people to think about the good things in their lives and to work together with people of all ages to create a better future.

A Workshop of Words and Music
In a beautiful chapel at Yale, Giovanni held a workshop called ""Manifesto for Change – Youth and Future."" Professors, students, and friends came together to share their essays and ideas for change. They used words like ""gratitude,"" ""friendship,"" ""love,"" and ""birth"" to describe what they wanted to see in the world.

Giovanni sang beautiful songs and encouraged everyone to share their own words for change. The evening ended with his song ""Change,"" a message of hope that filled the chapel and beyond.

A Call to Action
Giovanni invites all students and young people to write their own essays for the ""Manifesto for Change."" He wants to hear your ideas for making the world a better place. If you submit your essay by July 30, 2024, you might even get a chance to have it published in his book!

The Power of Wishes and Stability
One of the essays shared at the workshop was by Laya Jalilian-Khave, a doctor and researcher at Yale. She told a story about walking with her friend's 4-year-old daughter, Anna, in a field of dandelions in Iran. Anna was amazed by the dandelions and asked if she could make wishes forever.

Laya realized that it had been a long time since she"
15,First U.S. Trial of Varenicline for E-cigarette Cessation Shows Positive Results,"Main Ideas:
1. Varenicline, an FDA-approved medication for smoking cessation, shows promise in helping adults quit e-cigarettes.
2. The study aimed to mimic real-world conditions, providing brief advice and a self-guided cessation booklet instead of intensive counseling.
3. Larger trials are needed to further investigate the effectiveness of varenicline for e-cigarette cessation, particularly among those who have only ever used e-cigarettes.


A New Way to Help People Quit E-Cigarettes

Researchers from Yale Cancer Center and the Hollings Cancer Center have found a promising way to help adults stop using e-cigarettes. They tested a medication called varenicline, which is already used to help people quit smoking regular cigarettes.

In their study, the researchers divided people into two groups. One group received varenicline, while the other group received a placebo (a pill with no active ingredients). The results showed that 45% of the people in the medication group were able to quit using e-cigarettes, compared to only 30% in the placebo group.

Dr. Lisa Fucito, the lead author of the study, explained, ""People can get very high levels of nicotine from e-cigarettes, and they can use them almost constantly throughout the day. We wanted to see if any medication could help them quit.""

The researchers designed the study to be similar to what people would experience in real life. Instead of having many counseling sessions, participants received a booklet with tips and tools for quitting, along with brief advice from a healthcare provider.

The study also included some people who had a history of depression. This was important because there were once concerns that varenicline might cause mental health problems. However, a large study in 2016 showed that the medication is safe.

Another good finding was that people who quit vaping did not go back to smoking regular cigarettes. However, the researchers discovered that people who had only ever used e-cigarettes might have a harder time quitting compared to those who had smoked cigarettes before.

Dr. Benjamin Toll, the senior author of the study, said, ""We need more studies with larger groups of people to better understand these questions. But this study should give doctors some confidence in prescribing varenicline to patients who want to stop using e-cigarettes.""

The researchers believe that it's important for people to have access to this medication. Dr. Fucito explained, ""There are people who need help now and are likely to struggle to quit e-cigarettes on their own because the technology makes it so easy to use nicotine at levels we've never seen before."""
16,Search for Affordable Treatment Option for Liver Disease,"Main Ideas:
1. Metabolic-associated steatolic liver disease (MASLD) is a common chronic liver disease affecting nearly one-third of adults in the U.S. and worldwide.
2. The FDA recently approved the first therapy for metabolic steatohepatitis (MASH), a severe form of MASLD, but there is still a need for affordable, generic treatment options.
3. Dr. Bubu Banini received an NIH grant to investigate the potential of digoxin, an inexpensive and widely available drug, as a treatment for MASH.


A Common Liver Disease

Metabolic-associated steatolic liver disease, or MASLD for short, is a health problem that affects many grown-ups in the United States and around the world. In fact, almost one out of every three adults has this condition. MASLD is a type of liver disease that is becoming more and more common.

Some people with MASLD have a more serious form called metabolic steatohepatitis, or MASH. When someone has MASH, their liver gets worse faster and can lead to even bigger health problems.

A New Treatment, but It's Expensive

Until recently, there weren't any medicines to treat MASLD. Doctors would tell patients to lose weight, which can help reduce the amount of fat in their liver. However, losing weight is hard for many people, and they didn't have any other options.

In March 2024, a new medicine called Rezdiffra™ was approved to treat MASH. This is the first medicine that can help people with this serious liver problem. But there's a catch – this new medicine is very expensive. Many people who need it might not be able to afford it.

Searching for an Affordable Solution

Dr. Bubu Banini, a doctor and researcher at Yale School of Medicine, wants to find a more affordable way to treat MASH. She received a big grant from the National Institutes of Health (NIH) to study a medicine called digoxin.

Digoxin is a medicine that has been used for a long time to help people with heart problems. It's much cheaper than the new medicine for MASH, and it's easy to find. Dr. Banini thinks that digoxin might also help people with MASH by reducing inflammation and scarring in their liver.

Testing the Idea

Dr. Banini is planning a study to test if digoxin can help patients with MASH. In the study, some patients will get digoxin, while others will get a placebo (a pill that looks like the medicine but doesn't have any real medicine in it). After 24 weeks, the patients will have a special test to see if the digoxin helped their liver.

Dr. Banini is excited to do this research because digoxin has been used for a long time, so doctors already know a lot about how safe it is. This means she can focus on finding out if it works for MASH without spending years developing a brand-new medicine.
The Importance of Research
Dr. Banini says that Yale's support for research is really important for her work. ""There aren't many places where you can get so much support, mentorship, and resources for research,"" she said. Having access to the tools and help she needs makes it possible for Dr. Banini to do this kind of research that could help a lot of people."
17,Five Reasons To See a Pulmonologist,"Top 3 Main Ideas:
1. Pulmonologists are doctors who specialize in diagnosing and treating lung-related conditions.
2. There are several reasons why a patient may need to see a pulmonologist, such as breathing difficulties, persistent cough, abnormal lung imaging, sleep disorders, or blocked blood vessels in the lungs.
3. Yale's Section of Pulmonary, Critical Care, and Sleep Medicine has experts in every subspecialty of respiratory medicine who provide the latest treatments and establish caring relationships with patients.


What is a Pulmonologist?

A pulmonologist is a special kind of doctor who helps people with lung problems. They know a lot about different lung diseases and can help patients breathe better. Some of the conditions they treat include asthma, COPD (a disease that makes it hard to breathe), lung infections, lung cancer, and sleep apnea (when you stop breathing while sleeping).

When Should You See a Pulmonologist?

Here are five reasons why you or someone you know might need to visit a pulmonologist:

1. If you have trouble breathing that doesn't go away.
Dr. Geoffrey Chupp, a lung doctor at Yale, says that feeling short of breath can make it hard to live a normal life and exercise. It can be a sign of different lung problems or even heart issues. A pulmonologist can figure out what's causing the problem and help you feel better.

2. If you keep getting chest infections or have a cough that won't go away.
Dr. Ashley Losier, another lung doctor at Yale, explains that people who get a lot of chest infections or have a cough that lasts a long time might have something wrong with their lungs. A pulmonologist can help find out what's wrong and give you the right treatment.

3. If an X-ray or CT scan shows spots on your lungs.
Sometimes, when doctors take pictures of your lungs, they might see spots called nodules. Most of the time, these spots are just scars, but sometimes they can be a sign of a lung disease, infection, or even cancer. A pulmonologist can help figure out what the spots mean.

4. If you feel very sleepy during the day or snore loudly at night.
Dr. Klar Yaggi, a sleep doctor at Yale, says that problems with breathing while you sleep can be bad for your heart and overall health. Pulmonologists can find out if you have a sleep disorder and help you get better sleep.

5. If you have blocked blood vessels in your lungs.
Dr. Akhil Khosla, another lung doctor at Yale, explains that pulmonologists can help patients who have a condition called pulmonary embolism, which is when blood vessels in the lungs get blocked. This can make people very sick, so it's important to get help from a pulmonologist.

How Yale's Lung Doctors Help Patients

The lung doctors at Yale are some of the best in the country. They use the latest research and treatments to help patients with all kinds of lung problems. Dr. Naftali Kaminski, the head of Yale's lung department, says that the most important thing is that the doctors really care about their patients and work closely with other doctors to make sure everyone gets the best care possible.

Yale has many special programs for different lung diseases, like cystic fibrosis, COPD, lung infections, and more. They even have a special center just for studying and treating lung diseases."
18,Building Capacity in Medical Students to Care for Transgender and Gender Diverse Patients,"Top 3 main ideas:
1. Yale medical and public health students collaborated with faculty mentors to develop a clinical skills-based simulation session on caring for transgender and gender diverse patients.
2. The initiative aimed to address the lack of sufficient training for medical students to provide adequate health care to transgender and gender diverse individuals.
3. The training session was successfully piloted and will become a permanent part of the precede curriculum for all MD and MD-PhD clerkship students at Yale School of Medicine.


Yale Students Help Doctors Learn to Care for Transgender Patients

A group of students at Yale School of Medicine wanted to help doctors learn how to take better care of transgender and gender diverse patients. Transgender people are those who identify with a gender different from the one they were assigned at birth. Gender diverse people may not identify as either male or female.

The students found out that many doctors felt uncomfortable treating transgender and gender diverse patients because they didn't have enough training. This can make it hard for these patients to get the care they need.

To help solve this problem, the students worked with their teachers to create a special class. In this class, doctors-in-training would practice talking to and caring for transgender and gender diverse patients. They would learn how to make these patients feel safe and respected.

The students asked people from the transgender and gender diverse community to help with the class. These volunteers would pretend to be patients so the doctors-in-training could practice what they learned.

The special class was tested with a small group of students, and it worked really well. Now, all students at Yale School of Medicine will take this class before they start working in hospitals.

The students who created the class hope that it will help future doctors feel more confident and prepared to care for transgender and gender diverse patients. They believe that everyone deserves to get good health care, no matter who they are.

By teaching doctors how to better serve this community, the students are helping to make sure that transgender and gender diverse people can get the care they need without feeling afraid or uncomfortable."
19,"Celebrating Health Profession Students' Poetry, Prose, and Visual Arts ","Main Ideas:
1. The Yale School of Medicine Program for Humanities in Medicine held its annual Health Professions Students' Creative Writing & Art Contest, celebrating student winners who shared their creations.
2. The contest, which began over 20 years ago, has expanded to include visual arts and students from various health profession schools and programs at Yale.
3. The student winners shared personal stories and inspirations behind their winning pieces, highlighting the therapeutic value of art and the importance of self-expression in their lives and medical training.

Rewritten Article:

Celebrating Creativity in Medicine

Every year, the Yale School of Medicine holds a special contest for students in health professions. It's called the Health Professions Students' Creative Writing & Art Contest, and it's been going on for over 20 years! The contest started as a way for medical students to share their poetry and prose, but now it includes visual arts too. Students from different health programs at Yale, like nursing and public health, can also participate.

This year, almost 100 students entered the contest. On May 2, the winners got together to celebrate and share their creations. The audience clapped and cheered after each presentation.

One of the winners was Lenique Huggins, a second-year medical student. She created a piece called ""Black Motherhood in Medicine."" Lenique was inspired by something she learned in her first week of medical school - that Black mothers are more likely to face health problems during pregnancy than white mothers. She also heard her classmates talk about their worries about being a mother while training to be a doctor. Lenique grew up surrounded by art and culture, and she believes that art can help people feel better during tough times.

Another winner was Hang Nguyen, who started painting when she moved to America from Vietnam at age 11. She didn't speak English then, so art helped her express herself. Hang painted a piece called ""Submerged"" for the contest. It shows her feelings while studying for important exams, using water and fish in a peaceful setting.

Kelly Dunn, a first-year Physician Associate student, won three prizes! She started writing during the COVID-19 pandemic and finds it helpful to process everything that happens in PA school. Kelly says that every day, she feels wonder, humility, and gratitude for the moments she witnesses.

The contest judges were 16 faculty and staff members from the Yale School of Medicine. They helped make this celebration of creativity in medicine possible."
20,Investigating the Link Between Metabolism and Cancer,"Main Ideas:
1. Insulin plays a key role in regulating glucose uptake into tumors, and individuals with obesity and insulin resistance may be at a higher risk of developing certain types of cancer.
2. Low-carbohydrate diets and exercise can be beneficial in reducing the risk of developing metabolism-related cancers.
3. Researchers are working on repurposing metabolic drugs used for diabetes or obesity to potentially improve cancer treatment and develop precision medicine approaches.


The Link Between Insulin and Cancer

Have you ever wondered how the food we eat and the energy we use can affect our health? Dr. Rachel Perry, a scientist at Yale University, is studying how these factors can impact a serious disease called cancer.

What Is Insulin and How Does It Relate to Cancer?

Our bodies need a type of sugar called glucose for energy. When we eat, a special hormone called insulin helps our cells take in glucose from the food. However, sometimes cells don't respond well to insulin, which is called insulin resistance. When this happens, the body makes more insulin to help the cells take in glucose.

Cancer cells grow and divide very quickly, and they need a lot of glucose to do this. Insulin tells cancer cells to take in glucose, just like it tells other cells in the body. The problem is that cancer cells don't become insulin resistant like other cells do. So, when a person has insulin resistance, their cancer cells can take in more glucose than normal cells, which can make the cancer grow faster.

Can We Lower the Risk of Getting These Types of Cancer?

Dr. Perry and other scientists have found that eating a diet with fewer carbohydrates (which turn into glucose in the body) and exercising regularly can help lower the risk of getting these types of cancer.

An Unexpected Discovery

Dr. Perry's team did a study using a drug called dichloroacetate, which helps cells use glucose better. They thought this drug might help a type of cancer treatment called immunotherapy work better. Although the drug didn't slow down cancer growth, they found that it helped reduce cancer-related fatigue, which is a feeling of extreme tiredness that many cancer patients experience. This was a surprising finding, and Dr. Perry's team hopes that this drug can help patients feel better during cancer treatment.

The Future of Treating Metabolism-Related Cancers

Dr. Perry and her team are working to better understand how the way our bodies use energy affects the immune system's response to cancer and how cancer cells use energy. They hope to use drugs that are already used for treating diabetes or obesity to improve cancer treatment.

In the future, doctors might be able to choose the best treatment for each patient based on the specific characteristics of their cancer. This is called precision medicine, and it could help more people survive cancer."
21,"COVID-19: New ‘Omics’ Models Show Why Some People Are at Greater Risk of Severe Disease, Death","Main Ideas:
1. A new study has identified clues to help predict who is at risk for severe COVID-19 and who is most likely to survive among critically ill patients.
2. The study used a multi-omics approach, combining genomics, proteomics, and transcriptomics, to analyze immune responses of over 1,000 patients across the country.
3. The researchers identified factors associated with severe COVID-19 disease trajectory and mortality, including inflammation, T cell lymphopenia, tryptophan catabolism, and discoordination of interferon signaling.

Why Do Some People Get Really Sick from COVID-19?

Scientists have been working hard to understand why some people who get COVID-19 only have a mild case, like a little sniffle, while others get very sick and need to go to the hospital. They also want to know why some people who are very sick in the hospital get better, but others do not.

A new study has found some clues to help doctors predict who might get really sick from COVID-19 and who is most likely to survive if they do get very sick. The study looked at information from over 1,000 patients across the country.

The scientists studied many different parts of the patients' immune systems, which help fight off germs like the virus that causes COVID-19. They looked at samples from when the patients were in the hospital and for up to a year after they went home. This helped the scientists better understand how COVID-19 affects people differently.

The researchers used special computer programs to look for patterns in the patients' immune systems that might be linked to how sick they got from COVID-19. They found some important signs that could tell doctors if a person is more likely to get very sick:

1. Inflammation: When the body's immune system is working too hard to fight the virus.
2. T cell lymphopenia: When there aren't enough of a certain type of immune cell called T cells.
3. Tryptophan catabolism: When the body breaks down an amino acid called tryptophan in a certain way.

Among the patients who were very sick in the hospital, the scientists also found that if their interferon signaling was not working properly, they were more likely to die from COVID-19. Interferons are important for helping the immune system fight viruses.

This study is a big step in understanding why COVID-19 affects people differently. The scientists hope to use what they've learned to help find better ways to treat people who get very sick from COVID-19, both while they are in the hospital and after they go home if they have lingering symptoms."
22,"In the Early Steps of Cancer Formation, Timing Matters","Main Ideas:
1. Scientists have discovered the earliest physical changes that lead to cancer formation in mouse skin cells using high-resolution microscopy.
2. The formation of a pre-cancerous bump in hair follicles is triggered by a specific change in ERK protein activity, rather than just increased cell proliferation.
3. Tracking the effects of cancer-promoting mutations in living animals is crucial for understanding how cancer develops in the context of its microenvironment.

Catching Cancer Before It Starts

Imagine you're playing hide-and-seek with your friends. Cancer is like a sneaky player that hides really well. By the time you find it, it has already been hiding for a long time. Scientists at Yale School of Medicine and their friends have found a way to spot cancer's hiding places before it gets too good at hiding.

The scientists studied mice that can get a type of skin cancer. These mice have a special change in their hair that makes them more likely to get cancer. The scientists used a powerful microscope to look closely at the mouse skin cells and follow what happens when the cancer-causing change is turned on.

They discovered that the very first signs of cancer happen at a specific time and place in the hair's growth. It's like finding out that the sneaky player always hides in the same spot at the beginning of the game. The scientists also found that they could stop these early changes using a special medicine.

Dr. Tianchi Xin, one of the scientists, said, ""Understanding these early events could be helpful for us to actually design approaches to prevent the eventual formation of cancer."" In other words, if we know where cancer likes to hide, we can stop it before it gets too good at the game.

The scientists believe that what they learned about skin cancer in mice could also be true for other types of cancer in humans. It's like realizing that the sneaky player uses the same hiding tricks in different games.

Watching Cancer Grow

To really understand how cancer starts, the scientists needed to watch it grow in a living animal. It's like trying to figure out how a plant grows by watching it every day, instead of just looking at pictures of it.

They used a special microscope to look at individual cells in the mice and follow what happens inside those cells when the cancer-causing change is turned on. They saw that the cells started to grow faster, move differently, and divide in unusual ways.

The scientists also found that they could stop these changes using a medicine that blocks a specific protein in the cells. It's like finding the secret switch that makes the sneaky player stop hiding.

Looking to the Future

Now that the scientists have found cancer's early hiding spots, they want to keep watching to see what happens next. They also want to look for other things that might help cancer hide, like when the body gets hurt or sick.

By understanding how cancer starts and grows, scientists can come up with better ways to stop it before it gets too strong. It's like figuring out all the best strategies to win at hide-and-seek every time."
23,A Better COVID Treatment for the Immunocompromised?,"Top 3 main ideas:
1. A combination of two antiviral compounds, Mpro61 and molnupiravir, may be a promising alternative to Paxlovid for treating COVID-19 in immunocompromised patients.
2. The study found that humanized mice infected with SARS-CoV-2 overcame the disease when treated with the new drug combination, suggesting its potential effectiveness.
3. The development of this drug combination may help prepare for future viral diseases, especially those caused by coronaviruses.

A New Way to Treat COVID-19 in People with Weak Immune Systems

Scientists have discovered a new way to treat COVID-19 in people who have weak immune systems. These people, called immunocompromised patients, often have a hard time fighting off diseases because their bodies can't protect them as well as they should.

Right now, there are two main medicines that doctors can give to people who have COVID-19. One is called Paxlovid, which works really well for most people but can cause problems for immunocompromised patients who have had organ transplants. The other medicine, called molnupiravir, doesn't work as well at treating the disease.

Karen S. Anderson, a scientist at Yale School of Medicine, and her team have found a new solution. They combined molnupiravir with a new medicine they made in their lab. When they tested this combination in mice that had COVID-19, all the mice got better and the virus went away completely.

Christina Papini, a student scientist, and Irfan Ullah, another scientist, were the main people who worked on this study. They hope that this new medicine combination can help immunocompromised people get better treatment for COVID-19 in the future.

The scientists started working on this problem back in March 2020, when the pandemic first started. They used what they knew about HIV, the virus that causes AIDS, to help them find a way to fight COVID-19.

William Jorgensen, another scientist at Yale, used computers to look at existing medicines and see if any of them could be changed to work against the virus that causes COVID-19. He found one medicine, called perampanel, that they could use as a starting point. Then, they changed the medicine until they made a new one called Mpro61.

Priti Kumar, another scientist at Yale, tested Mpro61 alone and combined with molnupiravir in mice that had COVID-19. When they gave the mice both medicines together, the virus went away completely, and all the mice survived.

This new medicine combination could be a good choice for immunocompromised people who can't take Paxlovid. It might also help us be better prepared for future diseases caused by viruses similar to the one that causes COVID-19.

Even though many people are not thinking about COVID-19 as much anymore, it's still important to find better ways to treat the disease, especially for people with weak immune systems. This new discovery could be a big step forward in helping those people stay healthy."
24,Curbing the Price of Novel Diabetes and Obesity Medications,"Top 3 Main Ideas:
1. High prices of diabetes and obesity medications in the U.S. are making them unaffordable for many patients.
2. Researchers have analyzed the issues behind drug affordability and proposed policy changes to improve access to these medications.
3. Clinicians can play a role in advocating for their patients and providing feedback on how policy solutions are working in practice.

The High Cost of Diabetes and Obesity Medications

Imagine having a disease that requires you to take a medicine every day to stay healthy. Now, imagine that the medicine costs so much that you can't afford to buy it. This is a problem that many people with diabetes and obesity face in the United States.

Dr. Kasia Lipska, a doctor at Yale School of Medicine, has been working to make insulin, a medicine that helps people with diabetes, more affordable. She discovered that many Americans have to spend a lot of their money just to buy insulin.

In the United States, insulin and other medicines for diabetes and obesity often cost 10 times more than in other countries. This means that people in the U.S. have to pay much more for the same medicines.

Dr. Lipska, along with Dr. Reshma Ramachandran and Dr. Kathryn Nagel, wrote a paper to look at why these medicines cost so much. They wanted to find ways to make the prices fairer so that more people can afford them.

""As with insulin, our patients are facing parallel challenges in accessing other new non-insulin diabetes and anti-obesity medications,"" Dr. Ramachandran said.

The doctors learned that there are many steps involved in making and selling medicines in the U.S. They believe that changes need to be made at different points in this process to make the medicines more affordable.

""Our paper highlights where along the drug development and delivery value chain there is more work yet to be done by policymakers to enable more equitable and affordable access to these medications,"" Dr. Ramachandran added.

However, making these changes is not easy. Big companies that make the medicines have a lot of power, and they can influence the people who make the rules.

Despite these challenges, more people are becoming aware of the problem and are working to find solutions. Doctors like Dr. Lipska and Dr. Ramachandran believe that they can help by speaking up for their patients and sharing their experiences with those who make the rules.

""There are a lot of policies targeting drug affordability that have recently been proposed or enacted into law,"" Dr. Lipska said. ""Clinicians can give feedback about how certain solutions are playing out in practice and bring an important perspective to this conversation.""

By working together, doctors, patients, and those who make the rules can find ways to make these important medicines more affordable for everyone who needs them."
